GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNI,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AURUE001,NAME_M,AURUM001
G48008280,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Andrews Independent School District,8280,,,9700000US4808280,,,4808280,"Andrews Independent School District, Texas",72242,"Andrews Independent School District, Texas",9282
G48008310,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Angleton Independent School District,8310,,,9700000US4808310,,,4808310,"Angleton Independent School District, Texas",86569,"Angleton Independent School District, Texas",9989
G48008340,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Anna Independent School District,8340,,,9700000US4808340,,,4808340,"Anna Independent School District, Texas",104989,"Anna Independent School District, Texas",13987
G48008400,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Anson Independent School District,8400,,,9700000US4808400,,,4808400,"Anson Independent School District, Texas",53750,"Anson Independent School District, Texas",9268
G48008430,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Anthony Independent School District,8430,,,9700000US4808430,,,4808430,"Anthony Independent School District, Texas",56125,"Anthony Independent School District, Texas",8703
G48008460,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Anton Independent School District,8460,,,9700000US4808460,,,4808460,"Anton Independent School District, Texas",53375,"Anton Independent School District, Texas",12822
G48008490,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Apple Springs Independent School District,8490,,,9700000US4808490,,,4808490,"Apple Springs Independent School District, Texas",53563,"Apple Springs Independent School District, Texas",16105
G48008520,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Aquilla Independent School District,8520,,,9700000US4808520,,,4808520,"Aquilla Independent School District, Texas",76875,"Aquilla Independent School District, Texas",20471
G48008550,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Rockport-Fulton Independent School District,8550,,,9700000US4808550,,,4808550,"Rockport-Fulton Independent School District, Texas",75017,"Rockport-Fulton Independent School District, Texas",11582
G48008580,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Aransas Pass Independent School District,8580,,,9700000US4808580,,,4808580,"Aransas Pass Independent School District, Texas",59583,"Aransas Pass Independent School District, Texas",6885
G48008610,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Archer City Independent School District,8610,,,9700000US4808610,,,4808610,"Archer City Independent School District, Texas",62917,"Archer City Independent School District, Texas",12197
G48008670,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Argyle Independent School District,8670,,,9700000US4808670,,,4808670,"Argyle Independent School District, Texas",180095,"Argyle Independent School District, Texas",14742
G48008700,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Arlington Independent School District,8700,,,9700000US4808700,,,4808700,"Arlington Independent School District, Texas",71274,"Arlington Independent School District, Texas",1472
G48008730,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Arp Independent School District,8730,,,9700000US4808730,,,4808730,"Arp Independent School District, Texas",69900,"Arp Independent School District, Texas",17593
G48008870,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Athens Independent School District,8870,,,9700000US4808870,,,4808870,"Athens Independent School District, Texas",72118,"Athens Independent School District, Texas",5795
G48008880,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Atlanta Independent School District,8880,,,9700000US4808880,,,4808880,"Atlanta Independent School District, Texas",64488,"Atlanta Independent School District, Texas",4848
G48008910,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Aubrey Independent School District,8910,,,9700000US4808910,,,4808910,"Aubrey Independent School District, Texas",115470,"Aubrey Independent School District, Texas",8455
G48008940,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Austin Independent School District,8940,,,9700000US4808940,,,4808940,"Austin Independent School District, Texas",92946,"Austin Independent School District, Texas",1834
G48009000,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Austwell-Tivoli Independent School District,9000,,,9700000US4809000,,,4809000,"Austwell-Tivoli Independent School District, Texas",68542,"Austwell-Tivoli Independent School District, Texas",15655
G48009030,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Avalon Independent School District,9030,,,9700000US4809030,,,4809030,"Avalon Independent School District, Texas",84167,"Avalon Independent School District, Texas",35627
G48009060,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Avery Independent School District,9060,,,9700000US4809060,,,4809060,"Avery Independent School District, Texas",46500,"Avery Independent School District, Texas",3467
G48009090,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Avinger Independent School District,9090,,,9700000US4809090,,,4809090,"Avinger Independent School District, Texas",34345,"Avinger Independent School District, Texas",13666
G48009150,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Axtell Independent School District,9150,,,9700000US4809150,,,4809150,"Axtell Independent School District, Texas",84769,"Axtell Independent School District, Texas",11677
G48009200,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Azle Independent School District,9200,,,9700000US4809200,,,4809200,"Azle Independent School District, Texas",91843,"Azle Independent School District, Texas",6447
G48009280,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Baird Independent School District,9280,,,9700000US4809280,,,4809280,"Baird Independent School District, Texas",59219,"Baird Independent School District, Texas",15293
G48009300,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Ballinger Independent School District,9300,,,9700000US4809300,,,4809300,"Ballinger Independent School District, Texas",62083,"Ballinger Independent School District, Texas",5656
G48009330,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Balmorhea Independent School District,9330,,,9700000US4809330,,,4809330,"Balmorhea Independent School District, Texas",-666666666,"Balmorhea Independent School District, Texas",-222222222
G48009360,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Bandera Independent School District,9360,,,9700000US4809360,,,4809360,"Bandera Independent School District, Texas",75021,"Bandera Independent School District, Texas",7414
G48009390,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Bangs Independent School District,9390,,,9700000US4809390,,,4809390,"Bangs Independent School District, Texas",60833,"Bangs Independent School District, Texas",9682
G48009410,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Banquete Independent School District,9410,,,9700000US4809410,,,4809410,"Banquete Independent School District, Texas",84896,"Banquete Independent School District, Texas",23271
G48009450,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Barbers Hill Independent School District,9450,,,9700000US4809450,,,4809450,"Barbers Hill Independent School District, Texas",128353,"Barbers Hill Independent School District, Texas",14741
G48009540,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Bartlett Independent School District,9540,,,9700000US4809540,,,4809540,"Bartlett Independent School District, Texas",72571,"Bartlett Independent School District, Texas",12754
G48009570,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Bastrop Independent School District,9570,,,9700000US4809570,,,4809570,"Bastrop Independent School District, Texas",87946,"Bastrop Independent School District, Texas",6824
G48009630,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Bay City Independent School District,9630,,,9700000US4809630,,,4809630,"Bay City Independent School District, Texas",57915,"Bay City Independent School District, Texas",6358
G48009670,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Beaumont Independent School District,9670,,,9700000US4809670,,,4809670,"Beaumont Independent School District, Texas",57493,"Beaumont Independent School District, Texas",2819
G48009690,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Beckville Independent School District,9690,,,9700000US4809690,,,4809690,"Beckville Independent School District, Texas",88750,"Beckville Independent School District, Texas",28284
G48009720,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Beeville Independent School District,9720,,,9700000US4809720,,,4809720,"Beeville Independent School District, Texas",58154,"Beeville Independent School District, Texas",6184
G48009750,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Bellevue Independent School District,9750,,,9700000US4809750,,,4809750,"Bellevue Independent School District, Texas",71304,"Bellevue Independent School District, Texas",12944
G48009780,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Bells Independent School District,9780,,,9700000US4809780,,,4809780,"Bells Independent School District, Texas",92926,"Bells Independent School District, Texas",9909
G48009810,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Bellville Independent School District,9810,,,9700000US4809810,,,4809810,"Bellville Independent School District, Texas",98899,"Bellville Independent School District, Texas",7995
G48009860,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Belton Independent School District,9860,,,9700000US4809860,,,4809860,"Belton Independent School District, Texas",85617,"Belton Independent School District, Texas",4383
G48009870,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Ben Bolt-Palito Blanco Independent School District,9870,,,9700000US4809870,,,4809870,"Ben Bolt-Palito Blanco Independent School District, Texas",61161,"Ben Bolt-Palito Blanco Independent School District, Texas",15609
G48009980,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Benjamin Independent School District,9980,,,9700000US4809980,,,4809980,"Benjamin Independent School District, Texas",52708,"Benjamin Independent School District, Texas",29460
G48010140,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Big Sandy Independent School District (Upshur and Wood Counties),10140,,,9700000US4810140,,,4810140,"Big Sandy Independent School District (Upshur and Wood Counties), Texas",72083,"Big Sandy Independent School District (Upshur and Wood Counties), Texas",23069
G48010170,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Big Sandy Independent School District (Polk County),10170,,,9700000US4810170,,,4810170,"Big Sandy Independent School District (Polk County), Texas",67841,"Big Sandy Independent School District (Polk County), Texas",41973
G48010200,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Big Spring Independent School District,10200,,,9700000US4810200,,,4810200,"Big Spring Independent School District, Texas",68718,"Big Spring Independent School District, Texas",4133
G48010230,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Birdville Independent School District,10230,,,9700000US4810230,,,4810230,"Birdville Independent School District, Texas",79643,"Birdville Independent School District, Texas",3395
G48010260,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Bishop Consolidated Independent School District,10260,,,9700000US4810260,,,4810260,"Bishop Consolidated Independent School District, Texas",66813,"Bishop Consolidated Independent School District, Texas",13392
G48010320,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Blanco Independent School District,10320,,,9700000US4810320,,,4810320,"Blanco Independent School District, Texas",101591,"Blanco Independent School District, Texas",14256
G48010350,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Bland Independent School District,10350,,,9700000US4810350,,,4810350,"Bland Independent School District, Texas",102855,"Bland Independent School District, Texas",19382
G48010380,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Blanket Independent School District,10380,,,9700000US4810380,,,4810380,"Blanket Independent School District, Texas",62917,"Blanket Independent School District, Texas",10909
G48010440,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Bloomburg Independent School District,10440,,,9700000US4810440,,,4810440,"Bloomburg Independent School District, Texas",79732,"Bloomburg Independent School District, Texas",22025
G48010470,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Blooming Grove Independent School District,10470,,,9700000US4810470,,,4810470,"Blooming Grove Independent School District, Texas",66750,"Blooming Grove Independent School District, Texas",15651
G48010500,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Bloomington Independent School District,10500,,,9700000US4810500,,,4810500,"Bloomington Independent School District, Texas",52775,"Bloomington Independent School District, Texas",18041
G48010590,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Blue Ridge Independent School District,10590,,,9700000US4810590,,,4810590,"Blue Ridge Independent School District, Texas",96875,"Blue Ridge Independent School District, Texas",27202
G48010620,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Bluff Dale Independent School District,10620,,,9700000US4810620,,,4810620,"Bluff Dale Independent School District, Texas",118417,"Bluff Dale Independent School District, Texas",7836
G48010650,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Blum Independent School District,10650,,,9700000US4810650,,,4810650,"Blum Independent School District, Texas",71500,"Blum Independent School District, Texas",8956
G48010710,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Boerne Independent School District,10710,,,9700000US4810710,,,4810710,"Boerne Independent School District, Texas",136279,"Boerne Independent School District, Texas",10659
G48010740,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Boles Independent School District,10740,,,9700000US4810740,,,4810740,"Boles Independent School District, Texas",56250,"Boles Independent School District, Texas",18799
G48010780,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Boling Independent School District,10780,,,9700000US4810780,,,4810780,"Boling Independent School District, Texas",67866,"Boling Independent School District, Texas",8005
G48010800,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Bonham Independent School District,10800,,,9700000US4810800,,,4810800,"Bonham Independent School District, Texas",68559,"Bonham Independent School District, Texas",8485
G48010830,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Booker Independent School District,10830,,,9700000US4810830,,,4810830,"Booker Independent School District, Texas",70714,"Booker Independent School District, Texas",6681
G48010860,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Borden County Independent School District,10860,,,9700000US4810860,,,4810860,"Borden County Independent School District, Texas",66667,"Borden County Independent School District, Texas",23346
G48010890,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Borger Independent School District,10890,,,9700000US4810890,,,4810890,"Borger Independent School District, Texas",65614,"Borger Independent School District, Texas",9997
G48010910,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Bosqueville Independent School District,10910,,,9700000US4810910,,,4810910,"Bosqueville Independent School District, Texas",81042,"Bosqueville Independent School District, Texas",5991
G48010950,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Bovina Independent School District,10950,,,9700000US4810950,,,4810950,"Bovina Independent School District, Texas",59125,"Bovina Independent School District, Texas",23908
G48010990,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Bowie Independent School District,10990,,,9700000US4810990,,,4810990,"Bowie Independent School District, Texas",66461,"Bowie Independent School District, Texas",6904
G48011010,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Boyd Independent School District,11010,,,9700000US4811010,,,4811010,"Boyd Independent School District, Texas",73988,"Boyd Independent School District, Texas",16846
G48011040,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Boys Ranch Independent School District,11040,,,9700000US4811040,,,4811040,"Boys Ranch Independent School District, Texas",-666666666,"Boys Ranch Independent School District, Texas",-222222222
G48011070,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Brackett Independent School District,11070,,,9700000US4811070,,,4811070,"Brackett Independent School District, Texas",70000,"Brackett Independent School District, Texas",8852
G48011110,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Brady Independent School District,11110,,,9700000US4811110,,,4811110,"Brady Independent School District, Texas",54492,"Brady Independent School District, Texas",18088
G48011190,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Brazosport Independent School District,11190,,,9700000US4811190,,,4811190,"Brazosport Independent School District, Texas",80703,"Brazosport Independent School District, Texas",5263
G48011220,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Breckenridge Independent School District,11220,,,9700000US4811220,,,4811220,"Breckenridge Independent School District, Texas",57852,"Breckenridge Independent School District, Texas",10314
G48011250,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Bremond Independent School District,11250,,,9700000US4811250,,,4811250,"Bremond Independent School District, Texas",72500,"Bremond Independent School District, Texas",17954
G48011280,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Brenham Independent School District,11280,,,9700000US4811280,,,4811280,"Brenham Independent School District, Texas",75639,"Brenham Independent School District, Texas",6066
G48011310,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Bridge City Independent School District,11310,,,9700000US4811310,,,4811310,"Bridge City Independent School District, Texas",93152,"Bridge City Independent School District, Texas",11363
G48011340,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Bridgeport Independent School District,11340,,,9700000US4811340,,,4811340,"Bridgeport Independent School District, Texas",88929,"Bridgeport Independent School District, Texas",16654
G48011400,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Fort Elliott Consolidated Independent School District,11400,,,9700000US4811400,,,4811400,"Fort Elliott Consolidated Independent School District, Texas",94250,"Fort Elliott Consolidated Independent School District, Texas",35016
G48011430,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Broaddus Independent School District,11430,,,9700000US4811430,,,4811430,"Broaddus Independent School District, Texas",60134,"Broaddus Independent School District, Texas",10052
G48011460,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Brock Independent School District,11460,,,9700000US4811460,,,4811460,"Brock Independent School District, Texas",142130,"Brock Independent School District, Texas",28797
G48011490,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Bronte Independent School District,11490,,,9700000US4811490,,,4811490,"Bronte Independent School District, Texas",61563,"Bronte Independent School District, Texas",10483
G48011520,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Brookeland Independent School District,11520,,,9700000US4811520,,,4811520,"Brookeland Independent School District, Texas",69830,"Brookeland Independent School District, Texas",16087
G48011550,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Brookesmith Independent School District,11550,,,9700000US4811550,,,4811550,"Brookesmith Independent School District, Texas",53487,"Brookesmith Independent School District, Texas",25578
G48011580,2020-2024,TX,,,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,Brooks County Independent School District,11580,,,9700000US4811580,,,4811580,"Brooks County Independent School District, Texas",47764,"Brooks County Independent School District, Texas",16489
